Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
325,Cameron Artis-Payne,CAR,4,31,RB,RB90,269
326,AJ McCarron,LV,7,32,QB,QB33,271
327,Josh McCown,NYJ,11,44,QB,QB34,274
328,Chad Williams,ARI,9,28,WR,WR126,275
329,Demarcus Robinson,KC,12,28,WR,WR127,276
330,Terrance West,NO,6,32,RB,RB91,277
331,Malcolm Brown,LAR,12,30,RB,RB92,278
332,Hunter Sharp,NYG,9,29,WR,WR128,279
333,Jonathan Stewart,NYG,9,36,RB,RB93,280
334,Mark Walton,CIN,9,26,RB,RB94,281
335,Mack Hollins,PHI,9,29,WR,WR129,282
336,Kendrick Bourne,SF,11,27,WR,WR130,283
337,Tyler Boyd,CIN,9,28,WR,WR131,284
338,Cody Latimer,NYG,9,30,WR,WR132,285
339,Kevin White,CHI,5,30,WR,WR133,287
340,Sam Bradford,ARI,9,35,QB,QB35,289
341,Ryan Griffin,HOU,10,33,TE,TE29,290
342,Laquon Treadwell,MIN,10,28,WR,WR134,291
343,Malcolm Mitchell,NE,11,31,WR,WR135,292
344,DeAndre Washington,LV,7,30,RB,RB95,293
345,Ryan Switzer,PIT,7,28,WR,WR136,294
346,Thomas Rawls,NYJ,11,29,RB,RB96,295
347,C.J. Prosise,SEA,7,29,RB,RB97,296
348,Sam Darnold,NYJ,11,26,QB,QB36,297
349,Ricardo Louis,CLE,11,29,WR,WR137,298
350,Virgil Green,LAC,8,34,TE,TE30,299
351,Gerald Everett,LAR,12,29,TE,TE31,300
352,Luke Willson,DET,6,33,TE,TE32,301
353,Travis Rudolph,NYG,9,27,WR,WR138,302
354,Austin Traylor,DEN,10,29,TE,TE33,303
355,Marquez Valdes-Scantling,GB,7,28,WR,WR139,304
356,Equanimeous St. Brown,GB,7,26,WR,WR140,305
357,Trevor Davis,GB,7,30,WR,WR141,306
358,Vernon Davis,WAS,4,39,TE,TE34,307
359,Johnny Holton,LV,7,31,WR,WR142,308
360,Justin Hardy,ATL,8,31,WR,WR143,309
361,Jordan Taylor,DEN,10,31,WR,WR144,310
362,Justin Hunter,PIT,7,32,WR,WR145,311
363,Mike Thomas,LAR,12,28,WR,WR146,312
364,Alfred Blue,HOU,10,32,RB,RB98,313
365,Josh Allen,BUF,11,27,QB,QB37,314
366,Russell Shepard,NYG,9,32,WR,WR147,315
367,Jake Butt,DEN,10,28,TE,TE35,316
368,Kasen Williams,IND,9,31,WR,WR148,317
369,Leonte Carroo,MIA,11,29,WR,WR149,318
370,Mike Gillislee,NO,6,32,RB,RB99,319
371,Jamize Olawale,DAL,8,34,FB,RB100,320
372,Matt Jones,PHI,9,27,RB,RB101,321
373,Anthony Sherman,KC,12,34,FB,RB102,322
374,Andre Holmes,BUF,11,35,WR,WR150,324
375,Adam Shaheen,CHI,5,28,TE,TE36,325
376,Ed Dickson,SEA,7,36,TE,TE37,326
377,Michael Roberts,DET,6,29,TE,TE38,327
378,Jesus Wilson,TB,5,28,WR,WR151,329
379,Deonte Thompson,DAL,8,34,WR,WR152,330
380,Charone Peake,NYJ,11,30,WR,WR153,332
381,Jermaine Gresham,ARI,9,35,TE,TE39,333
382,Maxwell McCaffrey,SF,11,29,WR,WR154,334
383,Cody Core,CIN,9,29,WR,WR155,335
384,Raheem Mostert,SF,11,31,RB,RB103,336
385,Braxton Berrios,NE,11,27,WR,WR156,337
386,Bruce Ellington,HOU,10,31,WR,WR157,338
387,Richie James,SF,11,27,WR,WR158,339
388,Tyler Kroft,CIN,9,30,TE,TE40,340
389,Andy Janovich,DEN,10,30,FB,RB104,341
390,Sean Culkin,LAC,8,30,TE,TE41,342
391,Damien Williams,KC,12,31,RB,RB105,343
392,Garrett Celek,SF,11,35,TE,TE42,344
393,Justin Watson,TB,5,28,WR,WR159,345
394,Trey Quinn,WAS,4,27,WR,WR160,346
395,Tajae Sharpe,TEN,8,28,WR,WR161,347
396,Josh Bellamy,CHI,5,34,WR,WR162,348
397,Damion Ratley,CLE,11,28,WR,WR163,349
398,J.D. McKissic,SEA,7,29,RB,RB106,350
399,Tyler Higbee,LAR,12,30,TE,TE43,351
400,Marcus Johnson,IND,9,28,WR,WR164,352
401,Jonnu Smith,TEN,8,27,TE,TE44,353
402,Tommy Bohanon,JAX,9,32,FB,RB107,354
403,Jesse James,PIT,7,29,TE,TE45,355
404,Kapri Bibbs,WAS,4,30,RB,RB108,356
405,Ryan Fitzpatrick,TB,5,40,QB,QB38,357
406,Zach Zenner,DET,6,31,RB,RB109,358
407,Jaydon Mickens,JAX,9,29,WR,WR165,359
408,Zach Line,NO,6,33,FB,RB110,360
409,Aaron Ripkowski,GB,7,30,FB,RB111,361
410,Rod Streater,BUF,11,35,WR,WR166,362
411,Nick Vannett,SEA,7,30,TE,TE46,363
412,Marcell Ateman,LV,7,28,WR,WR167,364
413,Alan Cross,TB,5,30,FB,RB112,365
414,Noah Brown,DAL,8,27,WR,WR168,366
415,Benjamin Cunningham,CHI,5,33,RB,RB113,367
416,Ardarius Stewart,NYJ,11,29,WR,WR169,368
417,Daniel Brown,CHI,5,31,TE,TE47,369
418,Javon Wims,CHI,5,28,WR,WR170,370
419,Austin Carr,NO,6,29,WR,WR171,371
420,Nathan Peterman,BUF,11,29,QB,QB39,372
421,Brandon Wilds,ARI,9,30,RB,RB114,373
422,Kaelin Clay,NYG,9,31,WR,WR172,374
423,Jeff Heuerman,DEN,10,30,TE,TE48,375
424,Jaylen Samuels,PIT,7,27,RB,RB115,376
425,Aaron Burbridge,SF,11,29,WR,WR173,377
